LOG_LIQ,EDUC,LOG_INCOME,HHOUSES,AGE,FINLIT,EMERGSAV,KIDS,MARRIED,OCCAT1,YESFINRISK,LOG_DEBT,SPENDMOR,LATE,LOG_RET_ASSETS,AGE_GROUP,RET_MULTIPLIER,INCOME_RAW_EST,RET_ASSETS_RAW_EST,DEBT_RAW_EST,RET_READY_THRESHOLD,RET_READY
9.48044384215367,9,10.566323310283456,1,70,1,1,2,2,3,0,12.180759965737863,5,0,13.12854622415384,65+,8.0,38804.734469000025,503099.9999999998,195000.00000000006,310437.8757520002,1
10.609081944147828,12,12.323102772577544,1,46,3,1,0,2,2,0,13.159082888234298,3,0,12.390479526523466,40-49,2.0,224829.65931999942,240499.99999999983,518700.0000000002,449659.31863999885,0
9.295692039075686,14,13.00658583990648,1,68,3,1,0,1,3,0,16.682272507104123,3,1,17.925595438840958,65+,8.0,445335.67134000023,60951890.00000006,17579999.999999974,3562685.370720002,1
12.00762780434872,12,11.934326696707894,0,74,3,1,0,2,3,0,0.0,3,0,15.11352027729138,65+,8.0,152408.56712999992,3662000.0000000075,0.0,1219268.5370399994,1
7.00397413672268,8,10.936821754744528,0,19,0,0,0,1,1,0,9.305741456739437,2,0,7.00397413672268,Under 30,0.25,56207.41482999999,1099.9999999999998,11000.000000000011,14051.853707499997,0
12.122696471358964,12,12.553908279925931,1,74,2,0,0,1,3,0,11.6172944892629,5,0,15.690845104081916,65+,8.0,283198.8978000002,6523000.0,111000.00000000004,2265591.1824000017,1
11.669937760751914,13,16.413428504006223,1,52,3,1,1,1,2,0,0.0,2,0,16.53458648507231,50-59,4.0,13435733.967999985,15166299.999999987,0.0,53742935.87199994,0
7.313886831633462,12,10.596503161315889,0,60,1,0,0,2,3,0,0.0,3,0,7.313886831633462,60-64,6.0,39993.7374750001,1499.9999999999998,0.0,239962.42485000062,0
12.278397958261774,12,13.415281215273463,1,43,3,1,2,1,2,1,13.73755009757506,5,0,12.59473402514672,40-49,2.0,670165.3306599997,294999.9999999998,925000.0000000007,1340330.6613199995,0
10.238208256118536,12,10.674462827538376,1,67,2,0,0,1,3,0,12.11943029135234,4,1,10.238208256118536,65+,8.0,43236.47294599996,27950.000000000047,183400.0,345891.78356799966,0
9.928228944424577,13,12.263679624391456,1,46,3,1,0,2,1,0,12.111767460549332,2,0,9.928228944424577,40-49,2.0,211858.71743000005,20500.00000000003,182000.00000000003,423717.4348600001,0
7.576097340623111,9,10.64914561257346,0,51,2,1,1,2,1,0,9.271529540288606,5,0,7.576097340623111,50-59,4.0,42155.561122000014,1949.9999999999993,10630.00000000001,168622.24448800005,0
9.472781556562168,12,9.847813990029197,0,77,3,1,0,2,3,0,0.0,3,0,12.409017571151187,65+,8.0,18915.95691400003,244999.99999999997,0.0,151327.65531200025,1
6.236369590203704,8,10.974561423798535,1,57,0,0,2,2,1,0,11.722545990951964,2,0,6.236369590203704,50-59,4.0,58369.23847699994,510.0,123320.00000000001,233476.95390799976,0
10.491857380698828,13,11.639529406064158,0,30,2,1,0,1,1,0,12.403286919899765,2,0,10.83901212252558,30-39,0.75,113495.74147999997,50969.999999999905,243599.99999999994,85121.80610999998,0
8.098946748943339,8,10.91740401772286,1,56,0,0,1,1,1,0,10.012386799492118,4,0,8.098946748943339,50-59,4.0,55126.503006,3289.9999999999973,22300.0,220506.012024,0
7.8826922062890254,4,10.030126736355644,1,70,2,0,0,1,3,0,6.398594934535208,5,1,7.8826922062890254,65+,8.0,22699.14829700001,2649.9999999999995,600.0,181593.18637600009,0
10.96993815439584,8,11.30306069379871,1,57,1,0,0,1,3,0,0.0,5,0,13.525293274579292,50-59,4.0,81068.38677399996,748099.9999999995,0.0,324273.5470959998,1
9.472781556562168,12,10.814221753204103,0,32,2,0,0,2,2,0,0.0,4,0,9.472781556562168,30-39,0.75,49721.943887999936,12999.999999999995,0.0,37291.457915999956,0
7.824445930877619,13,11.367598443988374,1,46,3,0,0,2,1,1,11.889997957243736,4,0,7.824445930877619,40-49,2.0,86472.94589200003,2500.0000000000005,145799.99999999994,172945.89178400006,0
12.240478903153711,12,14.4506435113393,1,75,2,1,0,1,2,0,0.0,5,0,17.291877284039572,65+,8.0,1887272.0440999987,32341999.99999996,0.0,15098176.35279999,1
12.960317277281597,12,12.634537740790057,1,52,3,1,2,1,1,0,0.0,1,0,15.459388736941142,50-59,4.0,306978.95792000036,5175200.000000002,0.0,1227915.8316800015,1
